ID,Department,Manager,Location,DataFan
1576,DivisionX,2328,New York,no
1309,DivisionX,1130,New York,no
575,DivisionY,427,New York,no
2873,DivisionY,427,New York,no
1054,DivisionY,335,New York,no
1788,Customer Services,1975,New York,no
1684,DivisionX,2995,New York,no
1563,DivisionY,347,New York,no
3249,DivisionX,1755,New York,no
2018,DivisionY,1820,New York,no
2121,DivisionY,2029,New York,no
3114,DivisionY,1071,New York,no
975,DivisionY,1203,New York,no
954,Operations,2884,New York,no
645,DivisionY,1034,New York,no
1098,DivisionY,966,New York,no
2229,Operations,719,New York,no
1523,Technology,2030,New York,no
1657,Customer Services,711,New York,no
1752,DivisionY,612,Birmingham,no
1217,DivisionY,2121,New York,no
3302,DivisionY,2573,New York,no
1040,Operations,2427,New York,no
2759,DivisionX,187,New York,no
3187,DivisionY,1105,New York,no
187,DivisionX,2050,New York,no
1505,DivisionX,1110,New York,no
773,DivisionY,612,New York,no
3239,DivisionX,2066,New York,no
639,DivisionX,187,New York,no
531,Technology,2030,New York,no
2099,DivisionX,187,New York,no
391,DivisionX,2050,New York,no
2960,DivisionY,3188,New York,no
530,DivisionY,1203,New York,no
2081,DivisionX,1600,New York,no
399,DivisionX,1138,New York,no
403,DivisionY,1006,New York,no
2807,DivisionY,2121,New York,no
1129,DivisionY,427,Canada,no
2870,DivisionY,1006,New York,no
668,DivisionY,805,New York,no
1218,DivisionX,2328,New York,no
427,DivisionY,1395,New York,no
1138,DivisionX,1505,New York,no
1514,DivisionY,1443,New York,no
629,DivisionX,1759,New York,no
2045,DivisionY,966,New York,no
673,DivisionY,347,New York,no
2682,Facilities,John Lloyd (On Leave),Birmingham,no
1283,Technology,630,Birmingham,no
592,Facilities,John Lloyd (On Leave),Birmingham,no
2581,DivisionY,1006,Birmingham,no
3172,DivisionY,612,Birmingham,no
1383,DivisionY,1455,Birmingham,no
836,Facilities,694,Birmingham,no
961,DivisionY,1243,Birmingham,no
409,DivisionY,1006,Birmingham,no
2431,DivisionY,2260,Birmingham,no
1032,DivisionY,1822,Birmingham,yes
2020,Finance,1494,Birmingham,no
3071,DivisionX,3075,Birmingham,no
78,DivisionY,822,Birmingham,no
1567,DivisionY,2824,Birmingham,no
433,Finance,66,Birmingham,no
1820,DivisionY,2871,Birmingham,no
2101,Customer Services,42,Birmingham,yes
73,PR,2968,Birmingham,no
1401,Sales,694,Birmingham,no
1007,Finance,66,Birmingham,no
1979,DivisionX,1016,Birmingham,no
1678,DivisionY,2029,Birmingham,no
532,Facilities,836,Birmingham,no
2809,HR,56,Birmingham,no
3129,DivisionY,1006,Birmingham,no
1008,Technology,630,Birmingham,no
546,Facilities,John Lloyd (On Leave),Birmingham,no
96,DivisionX,Pamela Baxter [C],Birmingham,no
1915,Sales,1401,Birmingham,no
3041,DivisionY,78,Birmingham,no
3220,DivisionY,2764,Birmingham,no
793,Technology,841,Birmingham,yes
3180,DivisionX,Niki Donnelly (On Leave),Birmingham,no
119,DivisionY,2881,Birmingham,no
643,DivisionY,2871,Birmingham,no
2029,DivisionY,1822,Birmingham,no
335,DivisionY,2871,Birmingham,no
2409,Communications,3269,Birmingham,no
3209,Sales,1401,Birmingham,no
236,Sales,1401,Birmingham,no
221,Sales,1401,Birmingham,no
