ID,Department,Manager,Location,DataFan
0,DivisionX,1734,New York,no
1,DivisionX,1609,New York,no
2,DivisionY,43,New York,no
3,DivisionY,43,New York,no
4,DivisionY,86,New York,no
5,Customer Services,2736,New York,no
6,DivisionX,357,New York,no
7,DivisionY,173,New York,no
8,DivisionX,619,New York,no
9,DivisionY,65,New York,no
10,DivisionY,85,New York,no
11,DivisionY,312,New York,no
12,DivisionY,2075,New York,no
13,Operations,1639,New York,no
14,DivisionY,1151,New York,no
15,DivisionY,1468,New York,no
16,Operations,3170,New York,no
17,Technology,1051,New York,no
18,Customer Services,1945,New York,no
19,DivisionY,124,Birmingham,no
20,DivisionY,10,New York,no
21,DivisionY,371,New York,no
22,Operations,2409,New York,no
23,DivisionX,25,New York,no
24,DivisionY,612,New York,no
25,DivisionX,119,New York,no
26,DivisionX,225,New York,no
27,DivisionY,124,New York,no
28,DivisionX,613,New York,no
29,DivisionX,25,New York,no
30,Technology,1051,New York,no
31,DivisionX,25,New York,no
32,DivisionX,119,New York,no
33,DivisionY,522,New York,no
34,DivisionY,2075,New York,no
35,DivisionX,1000,New York,no
36,DivisionX,44,New York,no
37,DivisionY,2665,New York,no
38,DivisionY,10,New York,no
39,DivisionY,43,Canada,no
40,DivisionY,2665,New York,no
41,DivisionY,300,New York,no
42,DivisionX,1734,New York,no
43,DivisionY,469,New York,no
44,DivisionX,26,New York,no
45,DivisionY,147,New York,no
46,DivisionX,621,New York,no
47,DivisionY,1468,New York,no
48,DivisionY,173,New York,no
49,Facilities,John Lloyd (On Leave),Birmingham,no
50,Technology,168,Birmingham,no
51,Facilities,John Lloyd (On Leave),Birmingham,no
52,DivisionY,2665,Birmingham,no
53,DivisionY,124,Birmingham,no
54,DivisionY,466,Birmingham,no
55,Facilities,1218,Birmingham,no
56,DivisionY,1223,Birmingham,no
57,DivisionY,2665,Birmingham,no
58,DivisionY,2630,Birmingham,no
59,DivisionY,358,Birmingham,no
60,Finance,338,Birmingham,no
61,DivisionX,1147,Birmingham,no
62,DivisionY,298,Birmingham,no
63,DivisionY,2115,Birmingham,no
64,Finance,204,Birmingham,no
65,DivisionY,94,Birmingham,no
66,Customer Services,155,Birmingham,yes
67,PR,136,Birmingham,no
68,Sales,1218,Birmingham,no
69,Finance,204,Birmingham,no
70,DivisionX,341,Birmingham,no
71,DivisionY,85,Birmingham,no
72,Facilities,55,Birmingham,no
73,HR,347,Birmingham,no
74,DivisionY,2665,Birmingham,no
75,Technology,168,Birmingham,no
76,Facilities,John Lloyd (On Leave),Birmingham,no
77,DivisionX,Pamela Baxter [C],Birmingham,no
78,Sales,68,Birmingham,no
79,DivisionY,62,Birmingham,no
80,DivisionY,180,Birmingham,no
81,Technology,461,Birmingham,no
82,DivisionX,Niki Donnelly (On Leave),Birmingham,no
83,DivisionY,148,Birmingham,no
84,DivisionY,94,Birmingham,no
85,DivisionY,358,Birmingham,no
86,DivisionY,94,Birmingham,no
87,Communications,197,Birmingham,no
88,Sales,68,Birmingham,no
89,Sales,68,Birmingham,no
90,Sales,68,Birmingham,no
91,DivisionY,203,Birmingham,no
92,Technology,288,Birmingham,no
93,Operations,174,Birmingham,no
94,DivisionY,2875,Birmingham,no
95,DivisionY,1223,Birmingham,no
96,Facilities,98,Birmingham,no
97,Facilities,98,Birmingham,no
98,Facilities,55,Birmingham,no
99,Facilities,98,Birmingham,no
100,Facilities,73,Birmingham,no
101,Facilities,98,Birmingham,no
102,Sales,533,Birmingham,no
103,DivisionY,298,Birmingham,no
104,DivisionY,2875,Birmingham,no
105,Technology,3010,Birmingham,no
106,Technology,456,Birmingham,no
107,Customer Services,257,Birmingham,no
108,Sales,68,Birmingham,no
109,Training,237,Birmingham,no
110,Finance,1148,Birmingham,no
111,DivisionX,1368,Birmingham,no
112,Technology,461,Birmingham,no
113,Technology,133,Birmingham,no
114,Technology,112,Birmingham,no
115,Facilities,55,Birmingham,no
116,DivisionX,159,Birmingham,no
117,DivisionY,408,Birmingham,no
118,Customer Services,Sarah O'Reilly (On Leave),Birmingham,no
119,DivisionX,406,Birmingham,no
120,DivisionY,2665,Birmingham,no
121,Technology,1751,Birmingham,no
122,DivisionX,2311,Birmingham,no
123,DivisionX,2260,Birmingham,no
124,DivisionY,148,Birmingham,no
